,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_charges,total_calls,total_minutes,day_charge_per call,eve_charge_per_call,night_charge_per_call,intl_charge_per_call,day_call_length_per_call,eve_call_length_per_call,night_call_length_per_call,intl_call_length_per_call,day_charge_per_min,eve_charge_per_min,night_charge_per_min,intl_charge_per_min,day_charge_percentage,eve_charge_percentage,night_charge_percentage,intl_charge_percentage
10,65,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,54.0,337,579.0,0.16,0.234,0.085,0.572,0.942,2.753,1.881,2.117,0.17,0.085,0.045,0.27,0.406,0.36,0.174,0.064
11,74,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,57.0,374,556.0,0.251,0.094,0.094,0.492,1.478,1.104,2.085,1.82,0.17,0.085,0.045,0.27,0.56,0.244,0.155,0.043
12,168,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,40.0,297,386.0,0.228,0.126,0.05,1.51,1.342,1.477,1.102,5.6,0.17,0.085,0.045,0.27,0.547,0.223,0.159,0.075
13,95,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,60.0,283,609.0,0.302,0.281,0.075,0.664,1.78,3.301,1.672,2.46,0.17,0.085,0.045,0.27,0.444,0.351,0.144,0.055
14,62,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,59.0,251,644.0,0.293,0.344,0.092,0.59,1.724,4.042,2.051,2.183,0.17,0.085,0.045,0.27,0.348,0.443,0.155,0.06
15,161,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,92.0,301,817.0,0.845,0.278,0.056,0.162,4.969,3.276,1.255,0.6,0.17,0.085,0.045,0.27,0.615,0.294,0.079,0.016
16,85,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,65.0,308,580.0,0.24,0.265,0.054,0.932,1.413,3.121,1.191,3.45,0.17,0.085,0.045,0.27,0.514,0.367,0.062,0.057
17,93,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,59.0,349,547.0,0.284,0.167,0.048,0.73,1.673,1.966,1.071,2.7,0.17,0.085,0.045,0.27,0.549,0.314,0.099,0.037
18,76,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,61.0,244,578.0,0.489,0.278,0.069,0.54,2.874,3.274,1.534,2.0,0.17,0.085,0.045,0.27,0.529,0.297,0.122,0.044
19,73,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,64.0,254,590.0,0.424,0.154,0.117,1.755,2.493,1.812,2.605,6.5,0.17,0.085,0.045,0.27,0.596,0.212,0.136,0.055
20,147,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,59.0,347,614.0,0.225,0.219,0.071,0.715,1.326,2.577,1.57,2.65,0.17,0.085,0.045,0.27,0.447,0.345,0.159,0.048
21,77,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,36.0,280,448.0,0.119,0.119,0.147,0.257,0.701,1.404,3.275,0.95,0.17,0.085,0.045,0.27,0.295,0.401,0.262,0.043
22,130,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,48.0,308,447.0,0.278,0.063,0.105,0.135,1.634,0.736,2.331,0.5,0.17,0.085,0.045,0.271,0.648,0.129,0.17,0.054
23,111,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,41.0,316,445.0,0.182,0.114,0.081,0.347,1.072,1.346,1.806,1.283,0.17,0.085,0.045,0.27,0.458,0.285,0.208,0.051
24,132,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,48.0,275,574.0,0.16,0.289,0.093,1.39,0.943,3.406,2.061,5.15,0.17,0.085,0.045,0.27,0.287,0.434,0.222,0.058
25,174,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,60.0,308,668.0,0.278,0.21,0.098,0.838,1.636,2.474,2.18,3.1,0.17,0.085,0.045,0.27,0.352,0.392,0.188,0.07
26,57,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,63.0,345,596.0,0.315,0.145,0.071,0.857,1.852,1.706,1.589,3.167,0.17,0.085,0.045,0.271,0.575,0.258,0.13,0.041
27,54,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,45.0,245,407.0,0.313,0.132,0.067,0.992,1.84,1.555,1.501,3.675,0.17,0.085,0.045,0.27,0.507,0.294,0.102,0.088
28,20,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,64.0,301,636.0,0.296,0.261,0.08,0.283,1.743,3.074,1.779,1.05,0.17,0.085,0.045,0.27,0.505,0.343,0.128,0.027
29,49,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,50.0,317,524.0,0.173,0.168,0.089,3.0,1.02,1.973,1.986,11.1,0.17,0.085,0.045,0.27,0.406,0.366,0.161,0.06
30,142,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,41.0,312,486.0,0.152,0.184,0.076,0.638,0.893,2.17,1.693,2.367,0.17,0.085,0.045,0.27,0.352,0.283,0.275,0.093
31,75,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,69.0,315,684.0,0.366,0.16,0.113,0.556,2.153,1.883,2.512,2.06,0.17,0.085,0.045,0.27,0.557,0.248,0.161,0.04
32,172,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,55.0,324,549.0,0.298,0.023,0.169,0.34,1.752,0.271,3.76,1.26,0.17,0.085,0.045,0.27,0.655,0.048,0.24,0.062
33,12,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,80.0,330,794.0,0.36,0.18,0.14,1.063,2.115,2.121,3.113,3.933,0.17,0.085,0.045,0.27,0.53,0.268,0.158,0.04
34,57,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,58.0,289,594.0,0.32,0.221,0.083,0.56,1.881,2.6,1.841,2.075,0.17,0.085,0.045,0.27,0.518,0.286,0.166,0.039
35,72,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,67.0,259,605.0,0.467,0.181,0.097,0.662,2.75,2.13,2.152,2.45,0.17,0.085,0.045,0.27,0.558,0.276,0.103,0.059
36,36,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,48.0,323,453.0,0.194,0.173,0.053,0.653,1.143,2.031,1.186,2.417,0.17,0.085,0.045,0.27,0.518,0.288,0.121,0.082
37,78,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,54.0,293,592.0,0.347,0.164,0.095,0.54,2.044,1.928,2.109,2.0,0.17,0.085,0.045,0.27,0.412,0.352,0.19,0.05
38,136,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,58.0,318,504.0,0.327,0.161,0.043,0.473,1.924,1.895,0.95,1.75,0.17,0.085,0.045,0.27,0.598,0.275,0.079,0.049
39,149,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,58.0,303,612.0,0.254,0.251,0.078,0.333,1.494,2.954,1.744,1.233,0.17,0.085,0.045,0.27,0.412,0.398,0.146,0.052
40,98,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,47.0,324,490.0,0.21,0.167,0.063,1.27,1.238,1.962,1.391,4.7,0.17,0.085,0.045,0.27,0.457,0.302,0.18,0.054
41,135,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,56.0,285,514.0,0.346,0.162,0.071,0.263,2.036,1.906,1.567,0.973,0.17,0.085,0.045,0.27,0.526,0.309,0.098,0.07
42,34,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,62.0,262,728.0,0.259,0.245,0.18,0.675,1.522,2.88,3.994,2.5,0.17,0.085,0.045,0.27,0.342,0.387,0.226,0.044
43,160,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,39.0,283,439.0,0.189,0.128,0.087,0.62,1.114,1.503,1.94,2.3,0.17,0.085,0.045,0.27,0.374,0.36,0.206,0.064
44,64,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,58.0,274,649.0,0.391,0.163,0.139,0.317,2.299,1.914,3.085,1.167,0.17,0.085,0.045,0.271,0.451,0.331,0.206,0.016
45,59,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,48.0,310,506.0,0.212,0.197,0.063,0.46,1.246,2.315,1.406,1.7,0.17,0.085,0.045,0.271,0.428,0.377,0.153,0.048
46,65,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,59.0,365,522.0,0.299,0.113,0.051,0.712,1.761,1.333,1.142,2.64,0.17,0.085,0.045,0.27,0.609,0.234,0.103,0.06
47,142,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,56.0,339,571.0,0.239,0.155,0.086,0.4,1.406,1.819,1.907,1.48,0.17,0.085,0.045,0.27,0.568,0.204,0.195,0.036
48,119,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,56.0,325,542.0,0.237,0.168,0.071,0.793,1.396,1.977,1.574,2.933,0.17,0.085,0.045,0.27,0.483,0.351,0.115,0.042
49,97,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,47.0,275,432.0,0.168,0.318,0.04,0.99,0.987,3.745,0.894,3.667,0.17,0.085,0.045,0.27,0.482,0.393,0.068,0.063
50,52,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,68.0,296,706.0,0.302,0.239,0.123,0.422,1.777,2.81,2.722,1.56,0.17,0.085,0.045,0.271,0.48,0.337,0.157,0.031
51,60,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,68.0,304,688.0,0.658,0.156,0.087,0.613,3.87,1.836,1.93,2.267,0.17,0.085,0.045,0.271,0.551,0.264,0.165,0.027
52,10,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,64.0,241,670.0,0.282,0.245,0.223,0.513,1.662,2.882,4.961,1.9,0.17,0.085,0.045,0.27,0.494,0.253,0.199,0.048
53,96,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,63.0,257,666.0,0.233,0.339,0.151,0.502,1.369,3.993,3.36,1.86,0.17,0.085,0.045,0.27,0.432,0.361,0.163,0.04
54,87,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,56.0,329,584.0,0.309,0.161,0.072,0.873,1.819,1.894,1.606,3.233,0.17,0.085,0.045,0.27,0.458,0.333,0.164,0.047
55,81,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,66.0,253,705.0,0.445,0.249,0.124,0.917,2.619,2.933,2.757,3.4,0.17,0.085,0.045,0.27,0.452,0.321,0.184,0.042
56,141,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,45.0,290,456.0,0.22,0.247,0.05,1.08,1.295,2.903,1.1,4.0,0.17,0.085,0.045,0.27,0.479,0.34,0.141,0.048
57,121,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,50.0,286,461.0,0.261,0.083,0.106,0.523,1.538,0.978,2.353,1.933,0.17,0.085,0.045,0.271,0.675,0.128,0.163,0.031
58,68,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,55.0,340,537.0,0.361,0.128,0.057,1.09,2.126,1.503,1.26,4.033,0.17,0.085,0.045,0.27,0.46,0.381,0.106,0.059
59,125,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,66.0,332,608.0,0.378,0.12,0.09,0.405,2.226,1.408,1.993,1.5,0.17,0.085,0.045,0.27,0.591,0.228,0.129,0.049
60,174,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,58.0,249,540.0,0.337,0.154,0.139,0.77,1.98,1.807,3.085,2.85,0.17,0.085,0.045,0.27,0.563,0.249,0.129,0.053
61,116,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,71.0,334,625.0,0.55,0.107,0.071,1.043,3.236,1.255,1.569,3.867,0.17,0.085,0.045,0.27,0.643,0.213,0.105,0.044
62,74,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,64.0,282,592.0,0.362,0.218,0.067,1.313,2.129,2.564,1.5,4.867,0.17,0.085,0.045,0.27,0.515,0.327,0.097,0.062
63,149,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,62.0,212,647.0,0.334,0.249,0.225,1.133,1.964,2.934,5.009,4.2,0.17,0.085,0.045,0.27,0.495,0.257,0.193,0.055
64,38,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,46.0,307,461.0,0.228,0.143,0.067,0.368,1.339,1.679,1.5,1.367,0.17,0.085,0.045,0.27,0.485,0.301,0.155,0.048
65,40,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,51.0,269,538.0,0.34,0.164,0.094,0.334,2.001,1.926,2.099,1.24,0.17,0.085,0.045,0.269,0.494,0.283,0.189,0.033
66,43,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,70.0,280,631.0,0.407,0.174,0.106,0.627,2.395,2.046,2.355,2.325,0.17,0.085,0.045,0.27,0.611,0.258,0.101,0.036
67,113,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,47.0,359,469.0,0.229,0.147,0.042,0.28,1.346,1.734,0.93,1.037,0.17,0.085,0.045,0.27,0.453,0.373,0.124,0.048
68,126,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,63.0,211,590.0,0.514,0.23,0.115,2.11,3.023,2.711,2.558,7.8,0.17,0.085,0.045,0.271,0.571,0.293,0.11,0.033
69,150,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,55.0,314,510.0,0.301,0.131,0.067,1.243,1.771,1.537,1.486,4.6,0.17,0.085,0.045,0.27,0.553,0.261,0.122,0.068
70,138,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,72.0,287,719.0,0.442,0.175,0.128,0.456,2.6,2.054,2.839,1.686,0.17,0.085,0.045,0.27,0.571,0.201,0.185,0.044
71,162,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,69.0,244,680.0,0.394,0.19,0.188,1.635,2.319,2.24,4.174,6.05,0.17,0.085,0.045,0.27,0.554,0.232,0.166,0.047
72,147,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,65.0,281,578.0,0.509,0.149,0.071,0.54,2.995,1.752,1.583,2.0,0.17,0.085,0.045,0.27,0.65,0.195,0.119,0.033
73,90,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,63.0,372,590.0,0.237,0.165,0.065,0.492,1.393,1.938,1.451,1.825,0.17,0.085,0.045,0.27,0.549,0.306,0.109,0.031
74,85,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,65.0,305,593.0,0.368,0.142,0.086,1.08,2.163,1.672,1.901,4.0,0.17,0.085,0.045,0.27,0.617,0.206,0.13,0.05
75,50,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,55.0,275,568.0,0.297,0.264,0.074,0.825,1.746,3.101,1.634,3.05,0.17,0.085,0.045,0.27,0.486,0.345,0.148,0.03
76,82,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,82.0,286,763.0,0.468,0.154,0.166,0.79,2.755,1.81,3.7,2.925,0.17,0.085,0.045,0.27,0.623,0.188,0.148,0.039
77,144,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,27.0,308,320.0,0.089,0.077,0.079,0.316,0.526,0.907,1.747,1.171,0.17,0.085,0.045,0.27,0.388,0.243,0.289,0.082
78,46,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,61.0,292,564.0,0.506,0.134,0.071,0.737,2.974,1.581,1.571,2.733,0.17,0.085,0.045,0.27,0.597,0.229,0.131,0.036
79,70,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,56.0,278,569.0,0.295,0.129,0.135,2.025,1.737,1.522,3.008,7.5,0.17,0.085,0.045,0.27,0.517,0.236,0.184,0.072
80,144,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,74.0,294,742.0,0.345,0.349,0.085,1.78,2.031,4.101,1.882,6.6,0.17,0.085,0.045,0.27,0.462,0.349,0.136,0.048
81,116,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,70.0,297,711.0,0.352,0.22,0.115,0.68,2.071,2.592,2.555,2.52,0.17,0.085,0.045,0.27,0.523,0.249,0.179,0.049
82,55,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,51.0,310,488.0,0.229,0.122,0.088,1.485,1.346,1.433,1.952,5.5,0.17,0.085,0.045,0.27,0.552,0.227,0.155,0.058
83,70,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,77.0,271,742.0,0.42,0.225,0.147,0.662,2.47,2.65,3.275,2.45,0.17,0.085,0.045,0.27,0.551,0.287,0.13,0.034
84,106,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,69.0,270,664.0,0.373,0.249,0.098,3.35,2.194,2.932,2.175,12.4,0.17,0.085,0.045,0.27,0.519,0.307,0.125,0.049
85,128,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,67.0,275,737.0,0.293,0.223,0.186,0.331,1.724,2.627,4.141,1.229,0.17,0.085,0.045,0.27,0.455,0.287,0.217,0.035
86,94,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,51.0,295,510.0,0.256,0.13,0.102,0.432,1.504,1.535,2.257,1.6,0.17,0.085,0.045,0.27,0.526,0.258,0.167,0.042
87,111,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,66.0,294,617.0,0.309,0.233,0.084,1.62,1.816,2.743,1.861,6.0,0.17,0.085,0.045,0.27,0.552,0.268,0.124,0.049
88,74,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,49.0,254,490.0,0.252,0.125,0.159,0.327,1.482,1.469,3.546,1.211,0.17,0.085,0.045,0.27,0.535,0.214,0.186,0.06
89,128,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,75.0,290,708.0,0.324,0.226,0.138,0.937,1.903,2.662,3.072,3.475,0.17,0.085,0.045,0.27,0.539,0.281,0.125,0.05
90,82,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,49.0,262,460.0,0.401,0.158,0.052,1.5,2.359,1.856,1.166,5.55,0.17,0.085,0.045,0.27,0.499,0.338,0.101,0.061
91,155,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,62.0,327,599.0,0.346,0.156,0.074,0.6,2.034,1.836,1.647,2.225,0.17,0.085,0.045,0.27,0.558,0.262,0.142,0.039
92,80,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,49.0,278,558.0,0.211,0.137,0.184,0.237,1.243,1.617,4.084,0.878,0.17,0.085,0.045,0.27,0.431,0.3,0.232,0.043
93,78,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,73.0,317,705.0,0.462,0.135,0.113,0.367,2.719,1.593,2.513,1.357,0.17,0.085,0.045,0.271,0.589,0.208,0.163,0.035
94,90,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,55.0,250,508.0,0.429,0.2,0.063,0.409,2.523,2.353,1.403,1.514,0.17,0.085,0.045,0.27,0.554,0.295,0.105,0.052
95,104,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,64.0,361,532.0,0.447,0.061,0.054,0.53,2.626,0.717,1.191,1.96,0.17,0.085,0.045,0.27,0.74,0.108,0.115,0.041
96,73,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,57.0,258,560.0,0.247,0.252,0.109,0.877,1.455,2.962,2.418,3.25,0.17,0.085,0.045,0.27,0.478,0.318,0.137,0.062
97,99,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,62.0,279,605.0,0.387,0.232,0.076,0.783,2.278,2.728,1.689,2.9,0.17,0.085,0.045,0.27,0.543,0.284,0.139,0.038
98,120,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,63.0,336,594.0,0.275,0.171,0.078,0.286,1.619,2.013,1.742,1.06,0.17,0.085,0.045,0.27,0.572,0.283,0.119,0.023
99,77,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,75.0,314,742.0,0.595,0.139,0.114,0.379,3.497,1.633,2.525,1.4,0.17,0.085,0.045,0.27,0.571,0.233,0.165,0.035
100,98,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,57.0,297,578.0,0.24,0.258,0.078,0.149,1.414,3.039,1.741,0.55,0.17,0.085,0.045,0.27,0.481,0.376,0.126,0.021
101,108,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,56.0,320,511.0,0.221,0.211,0.057,0.788,1.301,2.487,1.266,2.92,0.17,0.085,0.045,0.27,0.541,0.287,0.104,0.07
102,135,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,47.0,293,461.0,0.315,0.096,0.081,0.473,1.85,1.133,1.8,1.75,0.17,0.085,0.045,0.27,0.549,0.215,0.172,0.06
103,95,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,53.0,316,576.0,0.232,0.147,0.108,0.376,1.364,1.732,2.405,1.389,0.17,0.085,0.045,0.27,0.433,0.295,0.208,0.064
